,campfilename,month,year,camppopulation,campcapacity,overcapacity,adultmales,adutfemales,children,monthyear,cmy
0,Adasevci_SRB_010,1,2018,327,450,0,0.45,0.19,0.36,12018,Adasevci_SRB_010012018
1,Bujanovac_SRB_001,1,2018,129,220,0,0.35,0.24,0.41,12018,Bujanovac_SRB_001012018
2,Divljana_SRB_002,1,2018,83,280,0,0.27,0.25,0.48,12018,Divljana_SRB_002012018
3,Kikinda_SRB_007,1,2018,162,240,0,0.33,0.18,0.49,12018,Kikinda_SRB_007012018
4,Krnjaca_SRB_003,1,2018,643,1000,0,0.42,0.17,0.41,12018,Krnjaca_SRB_003012018
5,Obrenovac_SRB_011,1,2018,727,900,0,0.97,0,0.3,12018,Obrenovac_SRB_011012018
6,Pirot_SRB_005,1,2018,185,250,0,0.31,0.21,0.48,12018,Pirot_SRB_005012018
7,Presevo_SRB_006,1,2018,353,1000,0,0.66,0.13,0.21,12018,Presevo_SRB_006012018
8,Sombor_SRB_008,1,2018,129,120,1,0.43,0.12,0.46,12018,Sombor_SRB_008012018
9,Adasevci_SRB_010,2,2018,303,450,0,0.49,0.19,0.32,22018,Adasevci_SRB_010022018
10,Bujanovac_SRB_001,2,2018,144,220,0,0.33,0.24,0.43,22018,Bujanovac_SRB_001022018
11,Divljana_SRB_002,2,2018,98,280,0,0.27,0.28,0.46,22018,Divljana_SRB_002022018
12,Kikinda_SRB_007,2,2018,166,240,0,0.36,0.17,0.48,22018,Kikinda_SRB_007022018
13,Krnjaca_SRB_003,2,2018,577,1000,0,0.38,0.18,0.44,22018,Krnjaca_SRB_003022018
14,Obrenovac_SRB_011,2,2018,717,900,0,0.97,0,0.3,22018,Obrenovac_SRB_011022018
15,Pirot_SRB_005,2,2018,199,250,0,0.32,0.21,0.47,22018,Pirot_SRB_005022018
16,Presevo_SRB_006,2,2018,370,1000,0,0.71,0.12,0.17,22018,Presevo_SRB_006022018
17,Sombor_SRB_008,2,2018,122,120,1,0.38,0.1,0.52,22018,Sombor_SRB_008022018
18,Adasevci_SRB_010,3,2018,284,450,0,0.55,0.18,0.28,32018,Adasevci_SRB_010032018
19,Bujanovac_SRB_001,3,2018,142,220,0,0.34,0.26,0.4,32018,Bujanovac_SRB_001032018
20,Divljana_SRB_002,3,2018,87,280,0,0.24,0.26,0.49,32018,Divljana_SRB_002032018
21,Kikinda_SRB_007,3,2018,139,240,0,0.35,0.18,0.47,32018,Kikinda_SRB_007032018
22,Krnjaca_SRB_003,3,2018,532,1000,0,0.37,0.19,0.44,32018,Krnjaca_SRB_003032018
23,Obrenovac_SRB_011,3,2018,761,900,0,0.1,0,0,32018,Obrenovac_SRB_011032018
24,Pirot_SRB_005,3,2018,193,250,0,0.31,0.21,0.48,32018,Pirot_SRB_005032018
25,Presevo_SRB_006,3,2018,227,1000,0,0.59,0.15,0.26,32018,Presevo_SRB_006032018
26,Sombor_SRB_008,3,2018,121,120,1,0.49,0.1,0.41,32018,Sombor_SRB_008032018
27,Adasevci_SRB_010,9,2018,513,450,1,0.73,0.13,0.14,92018,Adasevci_SRB_010092018
28,Presevo_SRB_006,9,2018,0,1000,0,,,,92018,Presevo_SRB_006092018
29,Bujanovac_SRB_001,9,2018,207,220,0,0.59,0.19,0.22,92018,Bujanovac_SRB_001092018
30,Sombor_SRB_008,9,2018,93,120,0,0.19,0.28,0.53,92018,Sombor_SRB_008092018
31,Kikinda_SRB_007,9,2018,137,240,0,0.58,0.12,0.29,92018,Kikinda_SRB_007092018
32,Krnjaca_SRB_003,9,2018,591,1000,0,0.18,0.1,0.72,92018,Krnjaca_SRB_003092018
33,Obrenovac_SRB_011,9,2018,673,900,0,0.1,0,0,92018,Obrenovac_SRB_011092018
34,Pirot_SRB_005,9,2018,164,250,0,0.6,0.14,0.26,92018,Pirot_SRB_005092018
35,Divljana_SRB_002,9,2018,0,280,0,,,,92018,Divljana_SRB_002092018
36,Alexandria-Ref_GRE_003,2,2018,313,355,0,0.44,0.2,0.36,22018,Alexandria-Ref_GRE_003022018
37,Diavata_GRE_008,2,2018,749,,1,0.32,0.2,0.48,22018,Diavata_GRE_008022018
38,XXDoliana_GRE_007,2,2018,87,99,0,0.39,0.16,0.45,22018,XXDoliana_GRE_007022018
39,Eleonas_GRE_013,2,2018,1468,,1,0.4,0.21,0.39,22018,Eleonas_GRE_013022018
40,XXFilipiada_GRE_019,2,2018,269,277,0,0.37,0.21,0.42,22018,XXFilipiada_GRE_019022018
41,Kato-Milia_GRE_061,2,2018,257,273,0,0.39,0.21,0.4,22018,Kato-Milia_GRE_061022018
42,XXKonitsa_GRE_026,2,2018,64,70,0,0.2,0.25,0.55,22018,XXKonitsa_GRE_026022018
43,Koutsochero_GRE_028,2,2018,776,872,0,0.46,0.23,0.31,22018,Koutsochero_GRE_028022018
44,Lagkadikia_GRE_029,2,2018,337,373,0,0.42,0.22,0.36,22018,Lagkadikia_GRE_029022018
45,Lavrio-New_GRE_030,2,2018,196,228,0,0.41,0.23,0.36,22018,Lavrio-New_GRE_030022018
46,Leros-Lepida_GRE_032,2,2018,552,800,0,0.56,0.16,0.28,22018,Leros-Lepida_GRE_032022018
47,Moria_GRE_001,2,2018,5113,,1,0.62,0.21,0.17,22018,Moria_GRE_001022018
48,Nea-Kavala_GRE_034,2,2018,407,437,0,0.68,0.19,0.13,22018,Nea-Kavala_GRE_034022018
49,XXPikpa-Leros_GRE_038,2,2018,46,100,0,0.33,0.24,0.43,22018,XXPikpa-Leros_GRE_038022018
50,Skaramangas_GRE_014,2,2018,2502,,1,0.24,0.3,0.46,22018,Skaramangas_GRE_014022018
51,Vathi-Samos_GRE_053,2,2018,1689,,1,0.51,0.2,0.29,22018,Vathi-Samos_GRE_053022018
53,Alexandria-Ref_GRE_003,1,2017,422,1200,0,0.26,0.22,0.52,12017,Alexandria-Ref_GRE_003012017
54,Andravida_GRE_004,1,2017,161,300,0,0.19,0.15,0.66,12017,Andravida_GRE_004012017
55,XXDerveni-Alexil_GRE_007,1,2017,356,850,0,0.28,0.24,0.48,12017,XXDerveni-Alexil_GRE_007012017
56,Diavata_GRE_008,1,2017,370,2500,0,0.26,0.2,0.54,12017,Diavata_GRE_008012017
57,XXDoliana_GRE_007,1,2017,145,400,0,0.2,0.22,0.58,12017,XXDoliana_GRE_007012017
58,Eleonas_GRE_013,1,2017,2000,2500,0,0.42,0.21,0.37,12017,Eleonas_GRE_013012017
59,XXElliniko-Hocky_GRE_016,1,2017,691,1400,0,0.42,0.21,0.37,12017,XXElliniko-Hocky_GRE_016012017
60,XXFilipiada_GRE_019,1,2017,238,700,0,0.24,0.22,0.54,12017,XXFilipiada_GRE_019012017
61,XXIliadi_GRE_020,1,2017,390,500,0,0.25,0.22,0.53,12017,XXIliadi_GRE_020012017
62,XXKonitsa_GRE_026,1,2017,150,200,0,0.29,0.15,0.56,12017,XXKonitsa_GRE_026012017
63,Lagkadikia_GRE_029,1,2017,239,631,0,0.4,0.2,0.4,12017,Lagkadikia_GRE_029012017
64,Lavrio-New_GRE_030,1,2017,321,400,0,0.3,0.27,0.43,12017,Lavrio-New_GRE_030012017
65,Leros-Lepida_GRE_032,1,2017,864,1000,0,0.51,0.18,0.31,12017,Leros-Lepida_GRE_032012017
66,XXMalakasa-MC_GRE_012,1,2017,483,1500,0,0.4,0.27,0.33,12017,XXMalakasa-MC_GRE_012012017
67,Moria_GRE_001,1,2017,6160,3500,1,0.6,0.2,0.2,12017,Moria_GRE_001012017
68,Nea-Kavala_GRE_034,1,2017,870,4200,0,0.27,0.24,0.49,12017,Nea-Kavala_GRE_034012017
70,Rafina_GRE_039,1,2017,111,120,0,0,0.3,,12017,Rafina_GRE_039012017
71,Ritsona_GRE_040,1,2017,570,1000,0,0.3,0.3,0.4,12017,Ritsona_GRE_040012017
72,XXSindos-Frakapore_GRE_043,1,2017,358,600,0,0.27,0.23,0.5,12017,XXSindos-Frakapore_GRE_043012017
73,Skaramangas_GRE_014,1,2017,3300,3200,1,0.3,0.3,0.4,12017,Skaramangas_GRE_014012017
74,Vathi-Samos_GRE_053,1,2017,2136,850,1,0.58,0.17,0.25,12017,Vathi-Samos_GRE_053012017
75,XXSoftex_GRE_045,1,2017,450,1900,0,0.3,0.2,0.5,12017,XXSoftex_GRE_045012017
76,XXSouda-Samns-Purse_GRE_046,1,2017,3509,1100,1,0.54,0.19,0.27,12017,XXSouda-Samns-Purse_GRE_046012017
77,XXTrikala_GRE_048,1,2017,241,360,0,0.34,0.27,0.39,12017,XXTrikala_GRE_048012017
78,Veria_GRE_054,1,2017,275,400,0,0.25,0.24,0.51,12017,Veria_GRE_054012017
79,XXVial-Chios-NRC_GRE_066,1,2017,3509,1100,1,0.2,0.36,0.44,12017,XXVial-Chios-NRC_GRE_066012017
80,Kos_GRE_027,1,2017,1880,1000,1,0.9,0.01,0.09,12017,Kos_GRE_027012017
81,Kos_GRE_027,6,2017,225,505,0,0.69,0.08,0.23,62017,Kos_GRE_027062017
82,Alexandria-Ref_GRE_003,6,2017,311,371,0,0.34,0.2,0.46,62017,Alexandria-Ref_GRE_003062017
83,Andravida_GRE_004,6,2017,170,240,0,0.19,0.15,0.66,62017,Andravida_GRE_004062017
84,XXDerveni-Alexil_GRE_007,6,2017,87,187,0,0.08,0.25,0.67,62017,XXDerveni-Alexil_GRE_007062017
85,Diavata_GRE_008,6,2017,363,,1,0.34,0.19,0.47,62017,Diavata_GRE_008062017
