,campfilename,monthyear,appcat,totalusagekb,usageperc,cmy
66,Adasevci_SRB_010,92018,Business management,368,0,Adasevci_SRB_010092018
67,Adasevci_SRB_010,32018,Video,648454445,45,Adasevci_SRB_010032018
68,Adasevci_SRB_010,32018,Other,508932417,35,Adasevci_SRB_010032018
69,Adasevci_SRB_010,32018,Social web,248342879,17,Adasevci_SRB_010032018
70,Adasevci_SRB_010,32018,Music,12177707,0,Adasevci_SRB_010032018
71,Adasevci_SRB_010,32018,Software & anti-virus updates,5862461,0,Adasevci_SRB_010032018
72,Adasevci_SRB_010,32018,Advertising,3080828,0,Adasevci_SRB_010032018
73,Adasevci_SRB_010,32018,Email,2793095,0,Adasevci_SRB_010032018
74,Adasevci_SRB_010,32018,Productivity,1823483,0,Adasevci_SRB_010032018
75,Adasevci_SRB_010,32018,Online backup,505818,0,Adasevci_SRB_010032018
76,Adasevci_SRB_010,32018,File sharing,437901,0,Adasevci_SRB_010032018
77,Adasevci_SRB_010,32018,Photo sharing,194785,0,Adasevci_SRB_010032018
78,Adasevci_SRB_010,32018,VoIP & video conferencing,168427,0,Adasevci_SRB_010032018
79,Adasevci_SRB_010,32018,Blogging,162762,0,Adasevci_SRB_010032018
80,Adasevci_SRB_010,32018,News,95088,0,Adasevci_SRB_010032018
81,Adasevci_SRB_010,32018,P2P,45564,0,Adasevci_SRB_010032018
82,Adasevci_SRB_010,32018,Sports,42613,0,Adasevci_SRB_010032018
83,Adasevci_SRB_010,32018,Gaming,30613,0,Adasevci_SRB_010032018
84,Adasevci_SRB_010,32018,Security,27905,0,Adasevci_SRB_010032018
85,Adasevci_SRB_010,32018,Web file sharing,2183,0,Adasevci_SRB_010032018
86,Adasevci_SRB_010,32018,Remote monitoring & management,1942,0,Adasevci_SRB_010032018
87,Alexandria-Ref_GRE_003,12017,Video,661499037,60,Alexandria-Ref_GRE_003012017
88,Alexandria-Ref_GRE_003,12017,Other,396968408,36,Alexandria-Ref_GRE_003012017
89,Alexandria-Ref_GRE_003,12017,Social web,26878325,2,Alexandria-Ref_GRE_003012017
90,Alexandria-Ref_GRE_003,12017,VoIP & video conferencing,3836175,0,Alexandria-Ref_GRE_003012017
91,Alexandria-Ref_GRE_003,12017,Music,954215,0,Alexandria-Ref_GRE_003012017
92,Alexandria-Ref_GRE_003,12017,Productivity,818132,0,Alexandria-Ref_GRE_003012017
93,Alexandria-Ref_GRE_003,12017,Email,758061,0,Alexandria-Ref_GRE_003012017
94,Alexandria-Ref_GRE_003,12017,Software & anti-virus updates,605253,0,Alexandria-Ref_GRE_003012017
95,Alexandria-Ref_GRE_003,12017,File sharing,559367,0,Alexandria-Ref_GRE_003012017
96,Alexandria-Ref_GRE_003,12017,Blogging,433441,0,Alexandria-Ref_GRE_003012017
97,Alexandria-Ref_GRE_003,12017,P2P,212776,0,Alexandria-Ref_GRE_003012017
98,Alexandria-Ref_GRE_003,12017,Photo sharing,125849,0,Alexandria-Ref_GRE_003012017
99,Alexandria-Ref_GRE_003,12017,Online backup,63901,0,Alexandria-Ref_GRE_003012017
100,Alexandria-Ref_GRE_003,12017,News,57604,0,Alexandria-Ref_GRE_003012017
101,Alexandria-Ref_GRE_003,12017,Gaming,18553,0,Alexandria-Ref_GRE_003012017
102,Alexandria-Ref_GRE_003,12017,Sports,5107,0,Alexandria-Ref_GRE_003012017
103,Alexandria-Ref_GRE_003,12017,Web file sharing,758,0,Alexandria-Ref_GRE_003012017
104,Alexandria-Ref_GRE_003,12017,Remote monitoring & management,0,0,Alexandria-Ref_GRE_003012017
105,Alexandria-Ref_GRE_003,22018,Other,1085230589,45,Alexandria-Ref_GRE_003022018
106,Alexandria-Ref_GRE_003,22018,Video,1073688606,45,Alexandria-Ref_GRE_003022018
107,Alexandria-Ref_GRE_003,22018,Social web,172748299,7,Alexandria-Ref_GRE_003022018
108,Alexandria-Ref_GRE_003,22018,Music,15301048,0,Alexandria-Ref_GRE_003022018
109,Alexandria-Ref_GRE_003,22018,Software & anti-virus updates,9404965,0,Alexandria-Ref_GRE_003022018
110,Alexandria-Ref_GRE_003,22018,Advertising,6277681,0,Alexandria-Ref_GRE_003022018
111,Alexandria-Ref_GRE_003,22018,File sharing,3814920,0,Alexandria-Ref_GRE_003022018
112,Alexandria-Ref_GRE_003,22018,Email,1903780,0,Alexandria-Ref_GRE_003022018
113,Alexandria-Ref_GRE_003,22018,Online backup,1703907,0,Alexandria-Ref_GRE_003022018
114,Alexandria-Ref_GRE_003,22018,Productivity,676914,0,Alexandria-Ref_GRE_003022018
115,Alexandria-Ref_GRE_003,22018,VoIP & video conferencing,272661,0,Alexandria-Ref_GRE_003022018
116,Alexandria-Ref_GRE_003,22018,Blogging,182253,0,Alexandria-Ref_GRE_003022018
117,Alexandria-Ref_GRE_003,22018,Gaming,109729,0,Alexandria-Ref_GRE_003022018
118,Alexandria-Ref_GRE_003,22018,News,108659,0,Alexandria-Ref_GRE_003022018
119,Alexandria-Ref_GRE_003,22018,P2P,93941,0,Alexandria-Ref_GRE_003022018
120,Alexandria-Ref_GRE_003,22018,Photo sharing,76960,0,Alexandria-Ref_GRE_003022018
121,Alexandria-Ref_GRE_003,22018,Security,24273,0,Alexandria-Ref_GRE_003022018
122,Alexandria-Ref_GRE_003,22018,Sports,1456,0,Alexandria-Ref_GRE_003022018
123,Alexandria-Ref_GRE_003,22018,Web file sharing,1268,0,Alexandria-Ref_GRE_003022018
124,Alexandria-Ref_GRE_003,22018,Business management,426,0,Alexandria-Ref_GRE_003022018
125,Alexandria-Ref_GRE_003,22018,Remote monitoring & management,117,0,Alexandria-Ref_GRE_003022018
126,Alexandria-Ref_GRE_003,22018,Cloud services,113,0,Alexandria-Ref_GRE_003022018
127,Alexandria-Ref_GRE_003,22018,Web payments,72,0,Alexandria-Ref_GRE_003022018
128,Alexandria-Ref_GRE_003,32018,Other,1501381077,46,Alexandria-Ref_GRE_003032018
129,Alexandria-Ref_GRE_003,32018,Video,1431870385,43,Alexandria-Ref_GRE_003032018
130,Alexandria-Ref_GRE_003,32018,Social web,274270331,8,Alexandria-Ref_GRE_003032018
131,Alexandria-Ref_GRE_003,32018,Music,19035047,0,Alexandria-Ref_GRE_003032018
132,Alexandria-Ref_GRE_003,32018,Advertising,9630850,0,Alexandria-Ref_GRE_003032018
133,Alexandria-Ref_GRE_003,32018,Software & anti-virus updates,6294194,0,Alexandria-Ref_GRE_003032018
134,Alexandria-Ref_GRE_003,32018,Online backup,3736776,0,Alexandria-Ref_GRE_003032018
135,Alexandria-Ref_GRE_003,32018,Email,2711731,0,Alexandria-Ref_GRE_003032018
136,Alexandria-Ref_GRE_003,32018,File sharing,1965489,0,Alexandria-Ref_GRE_003032018
137,Alexandria-Ref_GRE_003,32018,Productivity,1186002,0,Alexandria-Ref_GRE_003032018
138,Alexandria-Ref_GRE_003,32018,Web file sharing,1111098,0,Alexandria-Ref_GRE_003032018
